"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:27,92","01:01,30","02:12,88","04:42,56","09:41,83","19:03,97","00:35,46","01:16,96","02:46,93","00:29,73","01:07,93","02:32,47","00:31,76","01:08,88","02:28,72","02:30,36","05:19,37","20"
"19","00:28,35","01:02,25","02:14,94","04:46,93","09:50,82","19:21,66","00:36,01","01:18,15","02:49,51","00:30,19","01:08,98","02:34,83","00:32,25","01:09,94","02:31,02","02:32,68","05:24,31","19"
"18","00:28,78","01:03,20","02:16,99","04:51,30","09:59,82","19:39,35","00:36,56","01:19,34","02:52,09","00:30,65","01:10,03","02:37,19","00:32,74","01:11,01","02:33,32","02:35,01","05:29,25","18"
"17","00:29,21","01:04,15","02:19,04","04:55,67","10:08,82","19:57,04","00:37,11","01:20,53","02:54,67","00:31,11","01:11,08","02:39,55","00:33,23","01:12,08","02:35,62","02:37,34","05:34,19","17"
"16","00:29,64","01:05,10","02:21,10","05:00,04","10:17,81","20:14,73","00:37,66","01:21,72","02:57,25","00:31,57","01:12,13","02:41,91","00:33,72","01:13,14","02:37,92","02:39,66","05:39,13","16"
"15","00:30,08","01:06,04","02:23,15","05:04,41","10:26,81","20:32,42","00:38,21","01:22,91","02:59,83","00:32,03","01:13,18","02:44,26","00:34,21","01:14,21","02:40,22","02:41,99","05:44,07","15"
"14","00:30,51","01:06,99","02:25,21","05:08,78","10:35,81","20:50,11","00:38,75","01:24,10","03:02,42","00:32,49","01:14,23","02:46,62","00:34,70","01:15,27","02:42,52","02:44,31","05:49,01","14"
"13","00:30,94","01:07,94","02:27,26","05:13,15","10:44,81","21:07,80","00:39,30","01:25,29","03:05,00","00:32,95","01:15,28","02:48,98","00:35,20","01:16,34","02:44,82","02:46,64","05:53,94","13"
"12","00:31,37","01:08,89","02:29,32","05:17,52","10:53,80","21:25,49","00:39,85","01:26,48","03:07,58","00:33,41","01:16,33","02:51,34","00:35,69","01:17,40","02:47,12","02:48,96","05:58,88","12"
"11","00:31,80","01:09,84","02:31,37","05:21,89","11:02,80","21:43,18","00:40,40","01:27,67","03:10,16","00:33,87","01:17,38","02:53,69","00:36,18","01:18,47","02:49,42","02:51,29","06:03,82","11"
"10","00:32,23","01:10,78","02:33,43","05:26,26","11:11,80","22:00,87","00:40,95","01:28,86","03:12,74","00:34,33","01:18,43","02:56,05","00:36,67","01:19,53","02:51,72","02:53,61","06:08,76","10"
"9","00:32,67","01:11,73","02:35,48","05:30,63","11:20,80","22:18,56","00:41,50","01:30,05","03:15,32","00:34,79","01:19,48","02:58,41","00:37,16","01:20,60","02:54,02","02:55,94","06:13,70","9"
"8","00:33,10","01:12,68","02:37,54","05:35,00","11:29,79","22:36,25","00:42,04","01:31,24","03:17,90","00:35,25","01:20,53","03:00,77","00:37,65","01:21,66","02:56,32","02:58,26","06:18,64","8"
"7","00:33,53","01:13,63","02:39,59","05:39,36","11:38,79","22:53,94","00:42,59","01:32,43","03:20,48","00:35,71","01:21,58","03:03,13","00:38,14","01:22,73","02:58,62","03:00,59","06:23,58","7"
"6","00:33,96","01:14,58","02:41,65","05:43,73","11:47,79","23:11,63","00:43,14","01:33,62","03:23,07","00:36,17","01:22,64","03:05,48","00:38,63","01:23,79","03:00,92","03:02,91","06:28,52","6"
"5","00:34,39","01:15,52","02:43,70","05:48,10","11:56,78","23:29,32","00:43,69","01:34,81","03:25,65","00:36,63","01:23,69","03:07,84","00:39,12","01:24,86","03:03,22","03:05,24","06:33,45","5"
"4","00:34,82","01:16,47","02:45,76","05:52,47","12:05,78","23:47,01","00:44,24","01:36,00","03:28,23","00:37,09","01:24,74","03:10,20","00:39,62","01:25,92","03:05,52","03:07,56","06:38,39","4"
"3","00:35,26","01:17,42","02:47,81","05:56,84","12:14,78","24:04,70","00:44,79","01:37,19","03:30,81","00:37,55","01:25,79","03:12,56","00:40,11","01:26,99","03:07,82","03:09,89","06:43,33","3"
"2","00:35,69","01:18,37","02:49,87","06:01,21","12:23,78","24:22,39","00:45,33","01:38,38","03:33,39","00:38,01","01:26,84","03:14,92","00:40,60","01:28,05","03:10,12","03:12,21","06:48,27","2"
"1","00:36,12","01:19,32","02:51,92","06:05,58","12:32,77","24:40,08","00:45,88","01:39,57","03:35,97","00:38,47","01:27,89","03:17,27","00:41,09","01:29,12","03:12,42","03:14,54","06:53,21","1"
