"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:29,54","01:05,78","02:23,22","05:01,41","10:26,78","20:51,30","00:37,44","01:22,21","02:57,00","00:31,98","01:13,13","02:50,31","00:34,20","01:14,61","02:42,07","02:42,02","05:39,48","20"
"19","00:29,99","01:06,79","02:25,44","05:06,07","10:36,47","21:10,65","00:38,02","01:23,48","02:59,73","00:32,48","01:14,26","02:52,95","00:34,73","01:15,77","02:44,57","02:44,52","05:44,73","19"
"18","00:30,45","01:07,81","02:27,65","05:10,73","10:46,16","21:30,00","00:38,60","01:24,75","03:02,47","00:32,97","01:15,39","02:55,58","00:35,26","01:16,92","02:47,08","02:47,03","05:49,98","18"
"17","00:30,91","01:08,83","02:29,86","05:15,39","10:55,85","21:49,35","00:39,18","01:26,02","03:05,21","00:33,46","01:16,52","02:58,21","00:35,79","01:18,07","02:49,59","02:49,54","05:55,23","17"
"16","00:31,36","01:09,84","02:32,08","05:20,05","11:05,54","22:08,70","00:39,76","01:27,29","03:07,94","00:33,96","01:17,65","03:00,85","00:36,32","01:19,23","02:52,09","02:52,04","06:00,48","16"
"15","00:31,82","01:10,86","02:34,29","05:24,71","11:15,24","22:28,05","00:40,34","01:28,56","03:10,68","00:34,45","01:18,78","03:03,48","00:36,85","01:20,38","02:54,60","02:54,55","06:05,73","15"
"14","00:32,28","01:11,88","02:36,51","05:29,37","11:24,93","22:47,40","00:40,92","01:29,84","03:13,42","00:34,95","01:19,91","03:06,11","00:37,38","01:21,54","02:57,10","02:57,05","06:10,98","14"
"13","00:32,73","01:12,90","02:38,72","05:34,03","11:34,62","23:06,75","00:41,49","01:31,11","03:16,16","00:35,44","01:21,04","03:08,75","00:37,90","01:22,69","02:59,61","02:59,56","06:16,23","13"
"12","00:33,19","01:13,91","02:40,94","05:38,70","11:44,31","23:26,10","00:42,07","01:32,38","03:18,89","00:35,94","01:22,18","03:11,38","00:38,43","01:23,84","03:02,12","03:02,06","06:21,48","12"
"11","00:33,65","01:14,93","02:43,15","05:43,36","11:54,01","23:45,45","00:42,65","01:33,65","03:21,63","00:36,43","01:23,31","03:14,02","00:38,96","01:25,00","03:04,62","03:04,57","06:26,73","11"
"10","00:34,10","01:15,95","02:45,37","05:48,02","12:03,70","24:04,80","00:43,23","01:34,92","03:24,37","00:36,93","01:24,44","03:16,65","00:39,49","01:26,15","03:07,13","03:07,07","06:31,98","10"
"9","00:34,56","01:16,96","02:47,58","05:52,68","12:13,39","24:24,15","00:43,81","01:36,19","03:27,10","00:37,42","01:25,57","03:19,28","00:40,02","01:27,30","03:09,64","03:09,58","06:37,23","9"
"8","00:35,02","01:17,98","02:49,80","05:57,34","12:23,08","24:43,50","00:44,39","01:37,46","03:29,84","00:37,92","01:26,70","03:21,92","00:40,55","01:28,46","03:12,14","03:12,08","06:42,48","8"
"7","00:35,47","01:19,00","02:52,01","06:02,00","12:32,78","25:02,85","00:44,97","01:38,73","03:32,58","00:38,41","01:27,83","03:24,55","00:41,08","01:29,61","03:14,65","03:14,59","06:47,73","7"
"6","00:35,93","01:20,02","02:54,23","06:06,66","12:42,47","25:22,20","00:45,55","01:40,00","03:35,31","00:38,90","01:28,96","03:27,18","00:41,61","01:30,77","03:17,15","03:17,10","06:52,98","6"
"5","00:36,39","01:21,03","02:56,44","06:11,32","12:52,16","25:41,55","00:46,13","01:41,28","03:38,05","00:39,40","01:30,09","03:29,82","00:42,14","01:31,92","03:19,66","03:19,60","06:58,23","5"
"4","00:36,84","01:22,05","02:58,66","06:15,98","13:01,85","26:00,90","00:46,71","01:42,55","03:40,79","00:39,89","01:31,22","03:32,45","00:42,66","01:33,07","03:22,17","03:22,11","07:03,48","4"
"3","00:37,30","01:23,07","03:00,87","06:20,64","13:11,55","26:20,25","00:47,28","01:43,82","03:43,53","00:40,39","01:32,35","03:35,09","00:43,19","01:34,23","03:24,67","03:24,61","07:08,73","3"
"2","00:37,76","01:24,08","03:03,09","06:25,31","13:21,24","26:39,60","00:47,86","01:45,09","03:46,26","00:40,88","01:33,48","03:37,72","00:43,72","01:35,38","03:27,18","03:27,12","07:13,98","2"
"1","00:38,21","01:25,10","03:05,30","06:29,97","13:30,93","26:58,95","00:48,44","01:46,36","03:49,00","00:41,38","01:34,61","03:40,35","00:44,25","01:36,53","03:29,69","03:29,62","07:19,22","1"
