"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:25,43","00:54,98","01:59,03","04:11,47","08:35,92","16:43,87","00:31,85","01:09,53","02:30,00","00:27,12","00:59,51","02:12,38","00:28,79","01:01,67","02:13,06","02:14,67","04:46,05","20"
"19","00:25,83","00:55,83","02:00,87","04:15,36","08:43,90","16:59,40","00:32,35","01:10,60","02:32,32","00:27,54","01:00,43","02:14,42","00:29,23","01:02,63","02:15,12","02:16,76","04:50,48","19"
"18","00:26,22","00:56,68","02:02,71","04:19,25","08:51,88","17:14,92","00:32,84","01:11,68","02:34,64","00:27,96","01:01,35","02:16,47","00:29,68","01:03,58","02:17,18","02:18,84","04:54,90","18"
"17","00:26,61","00:57,53","02:04,55","04:23,14","08:59,86","17:30,44","00:33,33","01:12,76","02:36,96","00:28,38","01:02,27","02:18,52","00:30,13","01:04,53","02:19,24","02:20,92","04:59,32","17"
"16","00:27,01","00:58,38","02:06,39","04:27,03","09:07,84","17:45,97","00:33,83","01:13,83","02:39,28","00:28,80","01:03,19","02:20,56","00:30,57","01:05,49","02:21,30","02:23,01","05:03,75","16"
"15","00:27,40","00:59,23","02:08,23","04:30,92","09:15,81","18:01,49","00:34,32","01:14,91","02:41,60","00:29,22","01:04,11","02:22,61","00:31,02","01:06,44","02:23,35","02:25,09","05:08,17","15"
"14","00:27,79","01:00,08","02:10,07","04:34,81","09:23,79","18:17,02","00:34,81","01:15,98","02:43,92","00:29,64","01:05,03","02:24,66","00:31,46","01:07,39","02:25,41","02:27,17","05:12,59","14"
"13","00:28,19","01:00,93","02:11,91","04:38,69","09:31,77","18:32,54","00:35,30","01:17,06","02:46,24","00:30,06","01:05,95","02:26,71","00:31,91","01:08,35","02:27,47","02:29,25","05:17,02","13"
"12","00:28,58","01:01,78","02:13,75","04:42,58","09:39,75","18:48,06","00:35,80","01:18,13","02:48,56","00:30,48","01:06,87","02:28,75","00:32,35","01:09,30","02:29,53","02:31,34","05:21,44","12"
"11","00:28,97","01:02,63","02:15,59","04:46,47","09:47,73","19:03,59","00:36,29","01:19,21","02:50,88","00:30,90","01:07,79","02:30,80","00:32,80","01:10,26","02:31,58","02:33,42","05:25,86","11"
"10","00:29,37","01:03,48","02:17,44","04:50,36","09:55,71","19:19,11","00:36,78","01:20,28","02:53,20","00:31,32","01:08,71","02:32,85","00:33,24","01:11,21","02:33,64","02:35,50","05:30,29","10"
"9","00:29,76","01:04,33","02:19,28","04:54,25","10:03,68","19:34,63","00:37,27","01:21,36","02:55,52","00:31,73","01:09,63","02:34,89","00:33,69","01:12,16","02:35,70","02:37,58","05:34,71","9"
"8","00:30,15","01:05,18","02:21,12","04:58,14","10:11,66","19:50,16","00:37,77","01:22,43","02:57,84","00:32,15","01:10,55","02:36,94","00:34,13","01:13,12","02:37,76","02:39,67","05:39,14","8"
"7","00:30,55","01:06,03","02:22,96","05:02,03","10:19,64","20:05,68","00:38,26","01:23,51","03:00,16","00:32,57","01:11,47","02:38,99","00:34,58","01:14,07","02:39,81","02:41,75","05:43,56","7"
"6","00:30,94","01:06,88","02:24,80","05:05,91","10:27,62","20:21,21","00:38,75","01:24,58","03:02,48","00:32,99","01:12,39","02:41,03","00:35,02","01:15,02","02:41,87","02:43,83","05:47,98","6"
"5","00:31,33","01:07,73","02:26,64","05:09,80","10:35,60","20:36,73","00:39,24","01:25,66","03:04,79","00:33,41","01:13,31","02:43,08","00:35,47","01:15,98","02:43,93","02:45,91","05:52,41","5"
"4","00:31,73","01:08,58","02:28,48","05:13,69","10:43,57","20:52,25","00:39,74","01:26,73","03:07,11","00:33,83","01:14,23","02:45,13","00:35,91","01:16,93","02:45,99","02:48,00","05:56,83","4"
"3","00:32,12","01:09,43","02:30,32","05:17,58","10:51,55","21:07,78","00:40,23","01:27,81","03:09,43","00:34,25","01:15,15","02:47,18","00:36,36","01:17,89","02:48,05","02:50,08","06:01,25","3"
"2","00:32,51","01:10,28","02:32,16","05:21,47","10:59,53","21:23,30","00:40,72","01:28,88","03:11,75","00:34,67","01:16,07","02:49,22","00:36,80","01:18,84","02:50,10","02:52,16","06:05,68","2"
"1","00:32,91","01:11,13","02:34,00","05:25,36","11:07,51","21:38,82","00:41,21","01:29,96","03:14,07","00:35,09","01:16,99","02:51,27","00:37,25","01:19,79","02:52,16","02:54,24","06:10,10","1"
