"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt."
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:31,52","01:10,72","02:35,36","05:26,69","11:19,00","22:18,60","00:41,15","01:30,96","03:15,52","00:35,48","01:25,04","03:17,11","00:36,76","01:20,86","02:53,07","02:56,18","06:34,79","20"
"19","00:32,01","01:11,82","02:37,76","05:31,74","11:29,50","22:39,30","00:41,78","01:32,36","03:18,55","00:36,03","01:26,35","03:20,16","00:37,33","01:22,11","02:55,74","02:58,91","06:40,90","19"
"18","00:32,50","01:12,91","02:40,16","05:36,79","11:40,00","23:00,00","00:42,42","01:33,77","03:21,57","00:36,58","01:27,67","03:23,21","00:37,90","01:23,36","02:58,42","03:01,63","06:47,00","18"
"17","00:32,99","01:14,00","02:42,56","05:41,84","11:50,50","23:20,70","00:43,06","01:35,18","03:24,59","00:37,13","01:28,99","03:26,26","00:38,47","01:24,61","03:01,10","03:04,35","06:53,10","17"
"16","00:33,47","01:15,10","02:44,96","05:46,89","12:01,00","23:41,40","00:43,69","01:36,58","03:27,62","00:37,68","01:30,30","03:29,31","00:39,04","01:25,86","03:03,77","03:07,08","06:59,21","16"
"15","00:33,96","01:16,19","02:47,37","05:51,95","12:11,50","24:02,10","00:44,33","01:37,99","03:30,64","00:38,23","01:31,62","03:32,35","00:39,61","01:27,11","03:06,45","03:09,80","07:05,32","15"
"14","00:34,45","01:17,28","02:49,77","05:57,00","12:22,00","24:22,80","00:44,97","01:39,40","03:33,66","00:38,77","01:32,93","03:35,40","00:40,17","01:28,36","03:09,13","03:12,53","07:11,42","14"
"13","00:34,94","01:18,38","02:52,17","06:02,05","12:32,50","24:43,50","00:45,60","01:40,80","03:36,69","00:39,32","01:34,25","03:38,45","00:40,74","01:29,61","03:11,80","03:15,25","07:17,52","13"
"12","00:35,42","01:19,47","02:54,57","06:07,10","12:43,00","25:04,20","00:46,24","01:42,21","03:39,71","00:39,87","01:35,56","03:41,50","00:41,31","01:30,86","03:14,48","03:17,98","07:23,63","12"
"11","00:35,91","01:20,57","02:56,98","06:12,15","12:53,50","25:24,90","00:46,87","01:43,62","03:42,73","00:40,42","01:36,88","03:44,55","00:41,88","01:32,11","03:17,15","03:20,70","07:29,74","11"
"10","00:36,40","01:21,66","02:59,38","06:17,20","13:04,00","25:45,60","00:47,51","01:45,02","03:45,76","00:40,97","01:38,19","03:47,60","00:42,45","01:33,36","03:19,83","03:23,43","07:35,84","10"
"9","00:36,89","01:22,75","03:01,78","06:22,26","13:14,50","26:06,30","00:48,15","01:46,43","03:48,78","00:41,52","01:39,51","03:50,64","00:43,02","01:34,61","03:22,51","03:26,15","07:41,95","9"
"8","00:37,37","01:23,85","03:04,18","06:27,31","13:25,00","26:27,00","00:48,78","01:47,84","03:51,81","00:42,07","01:40,82","03:53,69","00:43,58","01:35,86","03:25,18","03:28,87","07:48,05","8"
"7","00:37,86","01:24,94","03:06,59","06:32,36","13:35,50","26:47,70","00:49,42","01:49,24","03:54,83","00:42,62","01:42,14","03:56,74","00:44,15","01:37,11","03:27,86","03:31,60","07:54,16","7"
"6","00:38,35","01:26,03","03:08,99","06:37,41","13:46,00","27:08,40","00:50,06","01:50,65","03:57,85","00:43,16","01:43,45","03:59,79","00:44,72","01:38,36","03:30,54","03:34,32","08:00,26","6"
"5","00:38,84","01:27,13","03:11,39","06:42,46","13:56,50","27:29,10","00:50,69","01:52,06","04:00,88","00:43,71","01:44,77","04:02,84","00:45,29","01:39,62","03:33,21","03:37,05","08:06,37","5"
"4","00:39,32","01:28,22","03:13,79","06:47,52","14:07,00","27:49,80","00:51,33","01:53,46","04:03,90","00:44,26","01:46,08","04:05,88","00:45,86","01:40,87","03:35,89","03:39,77","08:12,47","4"
"3","00:39,81","01:29,31","03:16,20","06:52,57","14:17,50","28:10,50","00:51,96","01:54,87","04:06,92","00:44,81","01:47,40","04:08,93","00:46,43","01:42,12","03:38,56","03:42,50","08:18,58","3"
"2","00:40,30","01:30,41","03:18,60","06:57,62","14:28,00","28:31,20","00:52,60","01:56,27","04:09,95","00:45,36","01:48,71","04:11,98","00:47,00","01:43,37","03:41,24","03:45,22","08:24,68","2"
"1","00:40,79","01:31,50","03:21,00","07:02,67","14:38,50","28:51,90","00:53,24","01:57,68","04:12,97","00:45,91","01:50,03","04:15,03","00:47,56","01:44,62","03:43,92","03:47,95","08:30,79","1"
