"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt."
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:22,58","00:49,50","01:48,16","03:49,78","07:59,98","15:12,44","00:28,40","01:01,92","02:14,24","00:24,03","00:52,98","01:59,14","00:25,64","00:55,15","02:00,42","02:02,10","04:19,49","20"
"19","00:22,93","00:50,26","01:49,84","03:53,34","08:07,40","15:26,55","00:28,84","01:02,87","02:16,31","00:24,40","00:53,80","02:00,98","00:26,03","00:56,01","02:02,28","02:03,99","04:23,51","19"
"18","00:23,28","00:51,03","01:51,51","03:56,89","08:14,82","15:40,66","00:29,28","01:03,83","02:18,39","00:24,77","00:54,62","02:02,82","00:26,43","00:56,86","02:04,14","02:05,88","04:27,52","18"
"17","00:23,63","00:51,80","01:53,18","04:00,44","08:22,24","15:54,77","00:29,72","01:04,79","02:20,47","00:25,14","00:55,44","02:04,66","00:26,83","00:57,71","02:06,00","02:07,77","04:31,53","17"
"16","00:23,98","00:52,56","01:54,86","04:04,00","08:29,66","16:08,88","00:30,16","01:05,74","02:22,54","00:25,51","00:56,26","02:06,50","00:27,22","00:58,57","02:07,86","02:09,66","04:35,55","16"
"15","00:24,33","00:53,33","01:56,53","04:07,55","08:37,09","16:22,99","00:30,60","01:06,70","02:24,62","00:25,88","00:57,08","02:08,35","00:27,62","00:59,42","02:09,73","02:11,54","04:39,56","15"
"14","00:24,68","00:54,09","01:58,20","04:11,10","08:44,51","16:37,10","00:31,04","01:07,66","02:26,69","00:26,26","00:57,90","02:10,19","00:28,02","01:00,27","02:11,59","02:13,43","04:43,57","14"
"13","00:25,03","00:54,86","01:59,87","04:14,66","08:51,93","16:51,21","00:31,48","01:08,62","02:28,77","00:26,63","00:58,72","02:12,03","00:28,41","01:01,12","02:13,45","02:15,32","04:47,58","13"
"12","00:25,38","00:55,62","02:01,55","04:18,21","08:59,35","17:05,32","00:31,92","01:09,57","02:30,85","00:27,00","00:59,54","02:13,87","00:28,81","01:01,98","02:15,31","02:17,21","04:51,60","12"
"11","00:25,72","00:56,39","02:03,22","04:21,76","09:06,78","17:19,43","00:32,35","01:10,53","02:32,92","00:27,37","01:00,36","02:15,72","00:29,21","01:02,83","02:17,17","02:19,10","04:55,61","11"
"10","00:26,07","00:57,15","02:04,89","04:25,32","09:14,20","17:33,54","00:32,79","01:11,49","02:35,00","00:27,74","01:01,17","02:17,56","00:29,60","01:03,68","02:19,04","02:20,99","04:59,62","10"
"9","00:26,42","00:57,92","02:06,56","04:28,87","09:21,62","17:47,65","00:33,23","01:12,45","02:37,07","00:28,11","01:01,99","02:19,40","00:30,00","01:04,54","02:20,90","02:22,87","05:03,64","9"
"8","00:26,77","00:58,68","02:08,24","04:32,42","09:29,04","18:01,76","00:33,67","01:13,40","02:39,15","00:28,49","01:02,81","02:21,24","00:30,39","01:05,39","02:22,76","02:24,76","05:07,65","8"
"7","00:27,12","00:59,45","02:09,91","04:35,98","09:36,47","18:15,87","00:34,11","01:14,36","02:41,22","00:28,86","01:03,63","02:23,09","00:30,79","01:06,24","02:24,62","02:26,65","05:11,66","7"
"6","00:27,47","01:00,22","02:11,58","04:39,53","09:43,89","18:29,98","00:34,55","01:15,32","02:43,30","00:29,23","01:04,45","02:24,93","00:31,19","01:07,09","02:26,49","02:28,54","05:15,67","6"
"5","00:27,82","01:00,98","02:13,25","04:43,08","09:51,31","18:44,09","00:34,99","01:16,28","02:45,38","00:29,60","01:05,27","02:26,77","00:31,58","01:07,95","02:28,35","02:30,43","05:19,69","5"
"4","00:28,17","01:01,75","02:14,93","04:46,64","09:58,73","18:58,20","00:35,43","01:17,23","02:47,45","00:29,97","01:06,09","02:28,61","00:31,98","01:08,80","02:30,21","02:32,31","05:23,70","4"
"3","00:28,52","01:02,51","02:16,60","04:50,19","10:06,15","19:12,31","00:35,87","01:18,19","02:49,53","00:30,34","01:06,91","02:30,45","00:32,38","01:09,65","02:32,07","02:34,20","05:27,71","3"
"2","00:28,87","01:03,28","02:18,27","04:53,74","10:13,58","19:26,42","00:36,31","01:19,15","02:51,60","00:30,71","01:07,73","02:32,30","00:32,77","01:10,51","02:33,93","02:36,09","05:31,72","2"
"1","00:29,22","01:04,04","02:19,95","04:57,30","10:21,00","19:40,53","00:36,75","01:20,11","02:53,68","00:31,09","01:08,55","02:34,14","00:33,17","01:11,36","02:35,80","02:37,98","05:35,74","1"
