"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:21,97","00:48,15","01:45,86","03:44,55","07:47,19","14:53,24","00:27,40","01:00,02","02:10,22","00:23,43","00:51,76","01:56,20","00:24,89","00:53,80","01:57,45","01:58,51","04:14,01","20"
"19","00:22,31","00:48,90","01:47,49","03:48,02","07:54,42","15:07,06","00:27,83","01:00,95","02:12,24","00:23,79","00:52,56","01:57,99","00:25,28","00:54,63","01:59,26","02:00,35","04:17,94","19"
"18","00:22,65","00:49,64","01:49,13","03:51,49","08:01,64","15:20,87","00:28,25","01:01,88","02:14,25","00:24,15","00:53,36","01:59,79","00:25,66","00:55,46","02:01,08","02:02,18","04:21,87","18"
"17","00:22,99","00:50,38","01:50,77","03:54,96","08:08,86","15:34,68","00:28,67","01:02,81","02:16,26","00:24,51","00:54,16","02:01,59","00:26,04","00:56,29","02:02,90","02:04,01","04:25,80","17"
"16","00:23,33","00:51,13","01:52,40","03:58,43","08:16,09","15:48,50","00:29,10","01:03,74","02:18,28","00:24,87","00:54,96","02:03,38","00:26,43","00:57,12","02:04,71","02:05,85","04:29,73","16"
"15","00:23,67","00:51,87","01:54,04","04:01,91","08:23,31","16:02,31","00:29,52","01:04,66","02:20,29","00:25,24","00:55,76","02:05,18","00:26,81","00:57,96","02:06,53","02:07,68","04:33,65","15"
"14","00:24,01","00:52,62","01:55,68","04:05,38","08:30,54","16:16,12","00:29,95","01:05,59","02:22,31","00:25,60","00:56,56","02:06,98","00:27,20","00:58,79","02:08,34","02:09,51","04:37,58","14"
"13","00:24,35","00:53,36","01:57,31","04:08,85","08:37,76","16:29,94","00:30,37","01:06,52","02:24,32","00:25,96","00:57,36","02:08,77","00:27,58","00:59,62","02:10,16","02:11,34","04:41,51","13"
"12","00:24,69","00:54,11","01:58,95","04:12,32","08:44,99","16:43,75","00:30,79","01:07,45","02:26,33","00:26,32","00:58,16","02:10,57","00:27,97","01:00,45","02:11,98","02:13,18","04:45,44","12"
"11","00:25,03","00:54,85","02:00,59","04:15,80","08:52,21","16:57,56","00:31,22","01:08,38","02:28,35","00:26,69","00:58,96","02:12,37","00:28,35","01:01,28","02:13,79","02:15,01","04:49,37","11"
"10","00:25,37","00:55,60","02:02,23","04:19,27","08:59,44","17:11,37","00:31,64","01:09,31","02:30,36","00:27,05","00:59,76","02:14,16","00:28,74","01:02,12","02:15,61","02:16,84","04:53,29","10"
"9","00:25,71","00:56,34","02:03,86","04:22,74","09:06,66","17:25,19","00:32,06","01:10,23","02:32,37","00:27,41","01:00,56","02:15,96","00:29,12","01:02,95","02:17,43","02:18,67","04:57,22","9"
"8","00:26,05","00:57,09","02:05,50","04:26,21","09:13,89","17:39,00","00:32,49","01:11,16","02:34,39","00:27,77","01:01,36","02:17,76","00:29,51","01:03,78","02:19,24","02:20,51","05:01,15","8"
"7","00:26,39","00:57,83","02:07,14","04:29,69","09:21,11","17:52,81","00:32,91","01:12,09","02:36,40","00:28,13","01:02,16","02:19,56","00:29,89","01:04,61","02:21,06","02:22,34","05:05,08","7"
"6","00:26,73","00:58,58","02:08,77","04:33,16","09:28,34","18:06,63","00:33,33","01:13,02","02:38,41","00:28,50","01:02,96","02:21,35","00:30,28","01:05,44","02:22,87","02:24,17","05:09,01","6"
"5","00:27,07","00:59,32","02:10,41","04:36,63","09:35,56","18:20,44","00:33,76","01:13,95","02:40,43","00:28,86","01:03,77","02:23,15","00:30,66","01:06,27","02:24,69","02:26,01","05:12,93","5"
"4","00:27,41","01:00,06","02:12,05","04:40,10","09:42,78","18:34,25","00:34,18","01:14,87","02:42,44","00:29,22","01:04,57","02:24,95","00:31,05","01:07,11","02:26,51","02:27,84","05:16,86","4"
"3","00:27,75","01:00,81","02:13,68","04:43,58","09:50,01","18:48,07","00:34,61","01:15,80","02:44,46","00:29,58","01:05,37","02:26,74","00:31,43","01:07,94","02:28,32","02:29,67","05:20,79","3"
"2","00:28,09","01:01,55","02:15,32","04:47,05","09:57,23","19:01,88","00:35,03","01:16,73","02:46,47","00:29,95","01:06,17","02:28,54","00:31,82","01:08,77","02:30,14","02:31,50","05:24,72","2"
"1","00:28,43","01:02,30","02:16,96","04:50,52","10:04,46","19:15,69","00:35,45","01:17,66","02:48,48","00:30,31","01:06,97","02:30,34","00:32,20","01:09,60","02:31,96","02:33,34","05:28,65","1"
