"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt."
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:35,12","01:18,79","02:57,13","05:58,90","12:47,27","24:44,10","00:44,44","01:39,79","03:43,61","00:39,88","01:42,82","03:52,80","00:40,50","01:30,21","03:12,47","03:21,81","07:16,50","20"
"19","00:35,67","01:20,01","02:59,87","06:04,45","12:59,14","25:07,05","00:45,12","01:41,34","03:47,07","00:40,49","01:44,41","03:56,40","00:41,12","01:31,60","03:15,44","03:24,93","07:23,25","19"
"18","00:36,21","01:21,23","03:02,61","06:10,00","13:11,00","25:30,00","00:45,81","01:42,88","03:50,53","00:41,11","01:46,00","04:00,00","00:41,75","01:33,00","03:18,42","03:28,05","07:30,00","18"
"17","00:36,75","01:22,45","03:05,35","06:15,55","13:22,86","25:52,95","00:46,50","01:44,42","03:53,99","00:41,73","01:47,59","04:03,60","00:42,38","01:34,39","03:21,40","03:31,17","07:36,75","17"
"16","00:37,30","01:23,67","03:08,09","06:21,10","13:34,73","26:15,90","00:47,18","01:45,97","03:57,45","00:42,34","01:49,18","04:07,20","00:43,00","01:35,79","03:24,37","03:34,29","07:43,50","16"
"15","00:37,84","01:24,89","03:10,83","06:26,65","13:46,60","26:38,85","00:47,87","01:47,51","04:00,90","00:42,96","01:50,77","04:10,80","00:43,63","01:37,18","03:27,35","03:37,41","07:50,25","15"
"14","00:38,38","01:26,10","03:13,57","06:32,20","13:58,46","27:01,80","00:48,56","01:49,05","04:04,36","00:43,58","01:52,36","04:14,40","00:44,26","01:38,58","03:30,33","03:40,53","07:57,00","14"
"13","00:38,93","01:27,32","03:16,31","06:37,75","14:10,33","27:24,75","00:49,25","01:50,60","04:07,82","00:44,19","01:53,95","04:18,00","00:44,88","01:39,97","03:33,30","03:43,65","08:03,75","13"
"12","00:39,47","01:28,54","03:19,04","06:43,30","14:22,19","27:47,70","00:49,93","01:52,14","04:11,28","00:44,81","01:55,54","04:21,60","00:45,51","01:41,37","03:36,28","03:46,77","08:10,50","12"
"11","00:40,01","01:29,76","03:21,78","06:48,85","14:34,06","28:10,65","00:50,62","01:53,68","04:14,74","00:45,43","01:57,13","04:25,20","00:46,13","01:42,76","03:39,25","03:49,90","08:17,25","11"
"10","00:40,56","01:30,98","03:24,52","06:54,40","14:45,92","28:33,60","00:51,31","01:55,23","04:18,19","00:46,04","01:58,72","04:28,80","00:46,76","01:44,16","03:42,23","03:53,02","08:24,00","10"
"9","00:41,10","01:32,20","03:27,26","06:59,95","14:57,79","28:56,55","00:51,99","01:56,77","04:21,65","00:46,66","02:00,31","04:32,40","00:47,39","01:45,55","03:45,21","03:56,14","08:30,75","9"
"8","00:41,64","01:33,41","03:30,00","07:05,50","15:09,65","29:19,50","00:52,68","01:58,31","04:25,11","00:47,28","02:01,90","04:36,00","00:48,01","01:46,95","03:48,18","03:59,26","08:37,50","8"
"7","00:42,18","01:34,63","03:32,74","07:11,05","15:21,52","29:42,45","00:53,37","01:59,86","04:28,57","00:47,89","02:03,49","04:39,60","00:48,64","01:48,34","03:51,16","04:02,38","08:44,25","7"
"6","00:42,73","01:35,85","03:35,48","07:16,60","15:33,38","30:05,40","00:54,06","02:01,40","04:32,03","00:48,51","02:05,08","04:43,20","00:49,26","01:49,74","03:54,14","04:05,50","08:51,00","6"
"5","00:43,27","01:37,07","03:38,22","07:22,15","15:45,25","30:28,35","00:54,74","02:02,94","04:35,48","00:49,13","02:06,67","04:46,80","00:49,89","01:51,14","03:57,11","04:08,62","08:57,75","5"
"4","00:43,81","01:38,29","03:40,96","07:27,70","15:57,11","30:51,30","00:55,43","02:04,48","04:38,94","00:49,74","02:08,26","04:50,40","00:50,52","01:52,53","04:00,09","04:11,74","09:04,50","4"
"3","00:44,36","01:39,51","03:43,70","07:33,25","16:08,98","31:14,25","00:56,12","02:06,03","04:42,40","00:50,36","02:09,85","04:54,00","00:51,14","01:53,93","04:03,06","04:14,86","09:11,25","3"
"2","00:44,90","01:40,73","03:46,44","07:38,80","16:20,84","31:37,20","00:56,80","02:07,57","04:45,86","00:50,98","02:11,44","04:57,60","00:51,77","01:55,32","04:06,04","04:17,98","09:18,00","2"
"1","00:45,44","01:41,94","03:49,18","07:44,35","16:32,71","32:00,15","00:57,49","02:09,11","04:49,32","00:51,59","02:13,03","05:01,20","00:52,40","01:56,71","04:09,02","04:21,10","09:24,75","1"
