"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:26,84","00:58,41","02:07,74","04:28,43","09:18,39","17:56,59","00:33,55","01:13,91","02:38,52","00:28,56","01:04,36","02:22,79","00:30,33","01:05,13","02:21,19","02:22,66","05:04,16","20"
"19","00:27,25","00:59,32","02:09,71","04:32,58","09:27,03","18:13,24","00:34,07","01:15,06","02:40,97","00:29,00","01:05,35","02:25,00","00:30,80","01:06,13","02:23,38","02:24,86","05:08,87","19"
"18","00:27,67","01:00,22","02:11,69","04:36,73","09:35,66","18:29,89","00:34,59","01:16,20","02:43,42","00:29,44","01:06,35","02:27,21","00:31,27","01:07,14","02:25,56","02:27,07","05:13,57","18"
"17","00:28,09","01:01,12","02:13,67","04:40,88","09:44,29","18:46,54","00:35,11","01:17,34","02:45,87","00:29,88","01:07,35","02:29,42","00:31,74","01:08,15","02:27,74","02:29,28","05:18,27","17"
"16","00:28,50","01:02,03","02:15,64","04:45,03","09:52,93","19:03,19","00:35,63","01:18,49","02:48,32","00:30,32","01:08,34","02:31,63","00:32,21","01:09,15","02:29,93","02:31,48","05:22,98","16"
"15","00:28,92","01:02,93","02:17,62","04:49,18","10:01,56","19:19,84","00:36,15","01:19,63","02:50,77","00:30,76","01:09,34","02:33,83","00:32,68","01:10,16","02:32,11","02:33,69","05:27,68","15"
"14","00:29,33","01:03,83","02:19,59","04:53,33","10:10,20","19:36,48","00:36,67","01:20,77","02:53,23","00:31,21","01:10,33","02:36,04","00:33,15","01:11,17","02:34,29","02:35,89","05:32,38","14"
"13","00:29,75","01:04,74","02:21,57","04:57,48","10:18,83","19:53,13","00:37,18","01:21,92","02:55,68","00:31,65","01:11,33","02:38,25","00:33,62","01:12,18","02:36,48","02:38,10","05:37,09","13"
"12","00:30,16","01:05,64","02:23,54","05:01,64","10:27,47","20:09,78","00:37,70","01:23,06","02:58,13","00:32,09","01:12,32","02:40,46","00:34,08","01:13,18","02:38,66","02:40,31","05:41,79","12"
"11","00:30,58","01:06,54","02:25,52","05:05,79","10:36,10","20:26,43","00:38,22","01:24,20","03:00,58","00:32,53","01:13,32","02:42,67","00:34,55","01:14,19","02:40,84","02:42,51","05:46,49","11"
"10","00:30,99","01:07,45","02:27,49","05:09,94","10:44,74","20:43,08","00:38,74","01:25,34","03:03,03","00:32,97","01:14,31","02:44,88","00:35,02","01:15,20","02:43,03","02:44,72","05:51,20","10"
"9","00:31,41","01:08,35","02:29,47","05:14,09","10:53,37","20:59,73","00:39,26","01:26,49","03:05,48","00:33,41","01:15,31","02:47,08","00:35,49","01:16,20","02:45,21","02:46,92","05:55,90","9"
"8","00:31,82","01:09,25","02:31,44","05:18,24","11:02,01","21:16,37","00:39,78","01:27,63","03:07,93","00:33,86","01:16,30","02:49,29","00:35,96","01:17,21","02:47,39","02:49,13","06:00,61","8"
"7","00:32,24","01:10,16","02:33,42","05:22,39","11:10,64","21:33,02","00:40,30","01:28,77","03:10,38","00:34,30","01:17,30","02:51,50","00:36,43","01:18,22","02:49,58","02:51,34","06:05,31","7"
"6","00:32,65","01:11,06","02:35,39","05:26,54","11:19,28","21:49,67","00:40,82","01:29,92","03:12,84","00:34,74","01:18,29","02:53,71","00:36,90","01:19,23","02:51,76","02:53,54","06:10,01","6"
"5","00:33,07","01:11,96","02:37,37","05:30,69","11:27,91","22:06,32","00:41,34","01:31,06","03:15,29","00:35,18","01:19,29","02:55,92","00:37,37","01:20,23","02:53,94","02:55,75","06:14,72","5"
"4","00:33,48","01:12,87","02:39,34","05:34,84","11:36,55","22:22,97","00:41,85","01:32,20","03:17,74","00:35,62","01:20,28","02:58,12","00:37,84","01:21,24","02:56,13","02:57,95","06:19,42","4"
"3","00:33,90","01:13,77","02:41,32","05:38,99","11:45,18","22:39,62","00:42,37","01:33,35","03:20,19","00:36,06","01:21,28","03:00,33","00:38,31","01:22,25","02:58,31","03:00,16","06:24,12","3"
"2","00:34,31","01:14,67","02:43,30","05:43,15","11:53,82","22:56,26","00:42,89","01:34,49","03:22,64","00:36,51","01:22,27","03:02,54","00:38,77","01:23,25","03:00,49","03:02,37","06:28,83","2"
"1","00:34,73","01:15,58","02:45,27","05:47,30","12:02,45","23:12,91","00:43,41","01:35,63","03:25,09","00:36,95","01:23,27","03:04,75","00:39,24","01:24,26","03:02,68","03:04,57","06:33,53","1"
