"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:21,37","00:47,03","01:43,00","03:38,08","07:33,06","14:23,01","00:26,35","00:57,93","02:06,65","00:22,67","00:50,23","01:53,31","00:24,14","00:52,15","01:54,14","01:55,57","04:08,12","20"
"19","00:21,70","00:47,75","01:44,60","03:41,45","07:40,06","14:36,35","00:26,76","00:58,82","02:08,61","00:23,02","00:51,00","01:55,06","00:24,52","00:52,95","01:55,90","01:57,35","04:11,95","19"
"18","00:22,03","00:48,48","01:46,19","03:44,82","07:47,07","14:49,70","00:27,17","00:59,72","02:10,57","00:23,37","00:51,78","01:56,81","00:24,89","00:53,76","01:57,67","01:59,14","04:15,79","18"
"17","00:22,36","00:49,21","01:47,78","03:48,19","07:54,08","15:03,05","00:27,58","01:00,62","02:12,53","00:23,72","00:52,56","01:58,56","00:25,26","00:54,57","01:59,44","02:00,93","04:19,63","17"
"16","00:22,69","00:49,93","01:49,38","03:51,56","08:01,08","15:16,39","00:27,99","01:01,51","02:14,49","00:24,07","00:53,33","02:00,31","00:25,64","00:55,37","02:01,20","02:02,71","04:23,46","16"
"15","00:23,02","00:50,66","01:50,97","03:54,94","08:08,09","15:29,74","00:28,39","01:02,41","02:16,45","00:24,42","00:54,11","02:02,07","00:26,01","00:56,18","02:02,97","02:04,50","04:27,30","15"
"14","00:23,35","00:51,39","01:52,56","03:58,31","08:15,09","15:43,08","00:28,80","01:03,30","02:18,40","00:24,77","00:54,89","02:03,82","00:26,38","00:56,99","02:04,73","02:06,29","04:31,14","14"
"13","00:23,68","00:52,12","01:54,15","04:01,68","08:22,10","15:56,43","00:29,21","01:04,20","02:20,36","00:25,12","00:55,66","02:05,57","00:26,76","00:57,79","02:06,50","02:08,08","04:34,97","13"
"12","00:24,01","00:52,84","01:55,75","04:05,05","08:29,11","16:09,77","00:29,62","01:05,09","02:22,32","00:25,47","00:56,44","02:07,32","00:27,13","00:58,60","02:08,26","02:09,86","04:38,81","12"
"11","00:24,34","00:53,57","01:57,34","04:08,43","08:36,11","16:23,12","00:30,02","01:05,99","02:24,28","00:25,82","00:57,22","02:09,08","00:27,50","00:59,40","02:10,03","02:11,65","04:42,65","11"
"10","00:24,67","00:54,30","01:58,93","04:11,80","08:43,12","16:36,46","00:30,43","01:06,89","02:26,24","00:26,17","00:57,99","02:10,83","00:27,88","01:00,21","02:11,79","02:13,44","04:46,48","10"
"9","00:25,00","00:55,02","02:00,53","04:15,17","08:50,12","16:49,81","00:30,84","01:07,78","02:28,20","00:26,52","00:58,77","02:12,58","00:28,25","01:01,02","02:13,56","02:15,22","04:50,32","9"
"8","00:25,33","00:55,75","02:02,12","04:18,54","08:57,13","17:03,15","00:31,25","01:08,68","02:30,16","00:26,88","00:59,55","02:14,33","00:28,62","01:01,82","02:15,32","02:17,01","04:54,16","8"
"7","00:25,66","00:56,48","02:03,71","04:21,92","09:04,14","17:16,50","00:31,65","01:09,57","02:32,11","00:27,23","01:00,32","02:16,08","00:29,00","01:02,63","02:17,09","02:18,80","04:58,00","7"
"6","00:26,00","00:57,21","02:05,30","04:25,29","09:11,14","17:29,85","00:32,06","01:10,47","02:34,07","00:27,58","01:01,10","02:17,84","00:29,37","01:03,44","02:18,85","02:20,59","05:01,83","6"
"5","00:26,33","00:57,93","02:06,90","04:28,66","09:18,15","17:43,19","00:32,47","01:11,37","02:36,03","00:27,93","01:01,88","02:19,59","00:29,74","01:04,24","02:20,62","02:22,37","05:05,67","5"
"4","00:26,66","00:58,66","02:08,49","04:32,03","09:25,15","17:56,54","00:32,88","01:12,26","02:37,99","00:28,28","01:02,65","02:21,34","00:30,12","01:05,05","02:22,38","02:24,16","05:09,51","4"
"3","00:26,99","00:59,39","02:10,08","04:35,40","09:32,16","18:09,88","00:33,28","01:13,16","02:39,95","00:28,63","01:03,43","02:23,09","00:30,49","01:05,86","02:24,15","02:25,95","05:13,34","3"
"2","00:27,32","01:00,12","02:11,68","04:38,78","09:39,17","18:23,23","00:33,69","01:14,05","02:41,91","00:28,98","01:04,21","02:24,84","00:30,86","01:06,66","02:25,91","02:27,73","05:17,18","2"
"1","00:27,65","01:00,84","02:13,27","04:42,15","09:46,17","18:36,57","00:34,10","01:14,95","02:43,87","00:29,33","01:04,98","02:26,60","00:31,24","01:07,47","02:27,68","02:29,52","05:21,02","1"
