"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt."
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:25,71","00:56,18","02:04,59","04:18,16","09:12,90","17:27,03","00:32,38","01:10,98","02:33,65","00:27,42","01:02,05","02:19,64","00:29,38","01:03,75","02:18,05","02:18,62","04:56,37","20"
"19","00:26,11","00:57,05","02:06,51","04:22,15","09:21,45","17:43,22","00:32,88","01:12,08","02:36,02","00:27,85","01:03,01","02:21,80","00:29,84","01:04,73","02:20,19","02:20,77","05:00,96","19"
"18","00:26,51","00:57,92","02:08,44","04:26,14","09:30,00","17:59,41","00:33,38","01:13,18","02:38,40","00:28,27","01:03,97","02:23,96","00:30,29","01:05,72","02:22,32","02:22,91","05:05,54","18"
"17","00:26,91","00:58,79","02:10,37","04:30,13","09:38,55","18:15,60","00:33,88","01:14,28","02:40,78","00:28,69","01:04,93","02:26,12","00:30,74","01:06,71","02:24,45","02:25,05","05:10,12","17"
"16","00:27,31","00:59,66","02:12,29","04:34,12","09:47,10","18:31,79","00:34,38","01:15,38","02:43,15","00:29,12","01:05,89","02:28,28","00:31,20","01:07,69","02:26,59","02:27,20","05:14,71","16"
"15","00:27,70","01:00,53","02:14,22","04:38,12","09:55,65","18:47,98","00:34,88","01:16,47","02:45,53","00:29,54","01:06,85","02:30,44","00:31,65","01:08,68","02:28,72","02:29,34","05:19,29","15"
"14","00:28,10","01:01,40","02:16,15","04:42,11","10:04,20","19:04,17","00:35,38","01:17,57","02:47,90","00:29,97","01:07,81","02:32,60","00:32,11","01:09,66","02:30,86","02:31,48","05:23,87","14"
"13","00:28,50","01:02,26","02:18,07","04:46,10","10:12,75","19:20,37","00:35,88","01:18,67","02:50,28","00:30,39","01:08,77","02:34,76","00:32,56","01:10,65","02:32,99","02:33,63","05:28,46","13"
"12","00:28,90","01:03,13","02:20,00","04:50,09","10:21,30","19:36,56","00:36,38","01:19,77","02:52,66","00:30,81","01:09,73","02:36,92","00:33,02","01:11,63","02:35,13","02:35,77","05:33,04","12"
"11","00:29,29","01:04,00","02:21,93","04:54,08","10:29,85","19:52,75","00:36,88","01:20,86","02:55,03","00:31,24","01:10,69","02:39,08","00:33,47","01:12,62","02:37,26","02:37,92","05:37,62","11"
"10","00:29,69","01:04,87","02:23,85","04:58,08","10:38,40","20:08,94","00:37,39","01:21,96","02:57,41","00:31,66","01:11,65","02:41,24","00:33,92","01:13,61","02:39,40","02:40,06","05:42,20","10"
"9","00:30,09","01:05,74","02:25,78","05:02,07","10:46,95","20:25,13","00:37,89","01:23,06","02:59,78","00:32,09","01:12,61","02:43,39","00:34,38","01:14,59","02:41,53","02:42,20","05:46,79","9"
"8","00:30,49","01:06,61","02:27,71","05:06,06","10:55,50","20:41,32","00:38,39","01:24,16","03:02,16","00:32,51","01:13,57","02:45,55","00:34,83","01:15,58","02:43,67","02:44,35","05:51,37","8"
"7","00:30,88","01:07,48","02:29,63","05:10,05","11:04,05","20:57,51","00:38,89","01:25,25","03:04,54","00:32,93","01:14,53","02:47,71","00:35,29","01:16,56","02:45,80","02:46,49","05:55,95","7"
"6","00:31,28","01:08,35","02:31,56","05:14,05","11:12,60","21:13,70","00:39,39","01:26,35","03:06,91","00:33,36","01:15,48","02:49,87","00:35,74","01:17,55","02:47,94","02:48,63","06:00,54","6"
"5","00:31,68","01:09,21","02:33,49","05:18,04","11:21,15","21:29,89","00:39,89","01:27,45","03:09,29","00:33,78","01:16,44","02:52,03","00:36,20","01:18,54","02:50,07","02:50,78","06:05,12","5"
"4","00:32,08","01:10,08","02:35,41","05:22,03","11:29,70","21:46,09","00:40,39","01:28,55","03:11,66","00:34,21","01:17,40","02:54,19","00:36,65","01:19,52","02:52,21","02:52,92","06:09,70","4"
"3","00:32,47","01:10,95","02:37,34","05:26,02","11:38,25","22:02,28","00:40,89","01:29,65","03:14,04","00:34,63","01:18,36","02:56,35","00:37,11","01:20,51","02:54,34","02:55,06","06:14,29","3"
"2","00:32,87","01:11,82","02:39,27","05:30,01","11:46,80","22:18,47","00:41,39","01:30,74","03:16,42","00:35,05","01:19,32","02:58,51","00:37,56","01:21,49","02:56,48","02:57,21","06:18,87","2"
"1","00:33,27","01:12,69","02:41,19","05:34,01","11:55,35","22:34,66","00:41,89","01:31,84","03:18,79","00:35,48","01:20,28","03:00,67","00:38,01","01:22,48","02:58,61","02:59,35","06:23,45","1"
