"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt."
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:29,27","01:05,64","02:21,44","04:55,34","10:27,53","19:45,98","00:37,70","01:23,05","02:58,25","00:32,09","01:13,04","02:53,86","00:33,99","01:14,08","02:39,37","02:40,01","05:42,04","20"
"19","00:29,73","01:06,65","02:23,62","04:59,90","10:37,24","20:04,32","00:38,29","01:24,34","03:01,00","00:32,58","01:14,17","02:56,55","00:34,51","01:15,22","02:41,84","02:42,49","05:47,33","19"
"18","00:30,18","01:07,67","02:25,81","05:04,47","10:46,94","20:22,66","00:38,87","01:25,62","03:03,76","00:33,08","01:15,30","02:59,24","00:35,04","01:16,37","02:44,30","02:44,96","05:52,62","18"
"17","00:30,63","01:08,69","02:28,00","05:09,04","10:56,64","20:41,00","00:39,45","01:26,90","03:06,52","00:33,58","01:16,43","03:01,93","00:35,57","01:17,52","02:46,76","02:47,43","05:57,91","17"
"16","00:31,09","01:09,70","02:30,18","05:13,60","11:06,35","20:59,34","00:40,04","01:28,19","03:09,27","00:34,07","01:17,56","03:04,62","00:36,09","01:18,66","02:49,23","02:49,91","06:03,20","16"
"15","00:31,54","01:10,72","02:32,37","05:18,17","11:16,05","21:17,68","00:40,62","01:29,47","03:12,03","00:34,57","01:18,69","03:07,31","00:36,62","01:19,81","02:51,69","02:52,38","06:08,49","15"
"14","00:31,99","01:11,73","02:34,56","05:22,74","11:25,76","21:36,02","00:41,20","01:30,76","03:14,79","00:35,06","01:19,82","03:09,99","00:37,14","01:20,95","02:54,16","02:54,86","06:13,78","14"
"13","00:32,44","01:12,75","02:36,75","05:27,31","11:35,46","21:54,36","00:41,79","01:32,04","03:17,54","00:35,56","01:20,95","03:12,68","00:37,67","01:22,10","02:56,62","02:57,33","06:19,07","13"
"12","00:32,90","01:13,76","02:38,93","05:31,87","11:45,16","22:12,70","00:42,37","01:33,33","03:20,30","00:36,06","01:22,08","03:15,37","00:38,19","01:23,24","02:59,09","02:59,81","06:24,36","12"
"11","00:33,35","01:14,78","02:41,12","05:36,44","11:54,87","22:31,04","00:42,95","01:34,61","03:23,05","00:36,55","01:23,21","03:18,06","00:38,72","01:24,39","03:01,55","03:02,28","06:29,65","11"
"10","00:33,80","01:15,79","02:43,31","05:41,01","12:04,57","22:49,38","00:43,53","01:35,89","03:25,81","00:37,05","01:24,34","03:20,75","00:39,24","01:25,53","03:04,02","03:04,76","06:34,93","10"
"9","00:34,25","01:16,81","02:45,49","05:45,57","12:14,28","23:07,72","00:44,12","01:37,18","03:28,57","00:37,55","01:25,47","03:23,44","00:39,77","01:26,68","03:06,48","03:07,23","06:40,22","9"
"8","00:34,71","01:17,82","02:47,68","05:50,14","12:23,98","23:26,06","00:44,70","01:38,46","03:31,32","00:38,04","01:26,59","03:26,13","00:40,30","01:27,83","03:08,94","03:09,70","06:45,51","8"
"7","00:35,16","01:18,84","02:49,87","05:54,71","12:33,69","23:44,40","00:45,28","01:39,75","03:34,08","00:38,54","01:27,72","03:28,81","00:40,82","01:28,97","03:11,41","03:12,18","06:50,80","7"
"6","00:35,61","01:19,85","02:52,06","05:59,27","12:43,39","24:02,74","00:45,87","01:41,03","03:36,84","00:39,03","01:28,85","03:31,50","00:41,35","01:30,12","03:13,87","03:14,65","06:56,09","6"
"5","00:36,07","01:20,87","02:54,24","06:03,84","12:53,09","24:21,08","00:46,45","01:42,32","03:39,59","00:39,53","01:29,98","03:34,19","00:41,87","01:31,26","03:16,34","03:17,13","07:01,38","5"
"4","00:36,52","01:21,88","02:56,43","06:08,41","13:02,80","24:39,42","00:47,03","01:43,60","03:42,35","00:40,03","01:31,11","03:36,88","00:42,40","01:32,41","03:18,80","03:19,60","07:06,67","4"
"3","00:36,97","01:22,90","02:58,62","06:12,98","13:12,50","24:57,76","00:47,62","01:44,88","03:45,11","00:40,52","01:32,24","03:39,57","00:42,92","01:33,55","03:21,27","03:22,08","07:11,96","3"
"2","00:37,42","01:23,91","03:00,80","06:17,54","13:22,21","25:16,10","00:48,20","01:46,17","03:47,86","00:41,02","01:33,37","03:42,26","00:43,45","01:34,70","03:23,73","03:24,55","07:17,25","2"
"1","00:37,88","01:24,93","03:02,99","06:22,11","13:31,91","25:34,44","00:48,78","01:47,45","03:50,62","00:41,52","01:34,50","03:44,95","00:43,98","01:35,84","03:26,20","03:27,02","07:22,54","1"
