"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt."
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:22,92","00:50,20","01:49,60","03:54,06","08:11,68","15:31,32","00:28,71","01:02,94","02:17,58","00:24,53","00:54,03","02:01,28","00:26,18","00:56,42","02:02,77","02:03,43","04:24,94","20"
"19","00:23,28","00:50,97","01:51,30","03:57,68","08:19,29","15:45,72","00:29,16","01:03,92","02:19,71","00:24,91","00:54,86","02:03,15","00:26,59","00:57,30","02:04,67","02:05,34","04:29,03","19"
"18","00:23,63","00:51,75","01:52,99","04:01,30","08:26,89","16:00,12","00:29,60","01:04,89","02:21,84","00:25,29","00:55,70","02:05,03","00:26,99","00:58,17","02:06,57","02:07,25","04:33,13","18"
"17","00:23,98","00:52,53","01:54,68","04:04,92","08:34,49","16:14,52","00:30,04","01:05,86","02:23,97","00:25,67","00:56,54","02:06,91","00:27,39","00:59,04","02:08,47","02:09,16","04:37,23","17"
"16","00:24,34","00:53,30","01:56,38","04:08,54","08:42,10","16:28,92","00:30,49","01:06,84","02:26,10","00:26,05","00:57,37","02:08,78","00:27,80","00:59,92","02:10,37","02:11,07","04:41,32","16"
"15","00:24,69","00:54,08","01:58,07","04:12,16","08:49,70","16:43,33","00:30,93","01:07,81","02:28,22","00:26,43","00:58,21","02:10,66","00:28,20","01:00,79","02:12,27","02:12,98","04:45,42","15"
"14","00:25,05","00:54,86","01:59,77","04:15,78","08:57,30","16:57,73","00:31,38","01:08,78","02:30,35","00:26,81","00:59,04","02:12,53","00:28,61","01:01,66","02:14,16","02:14,88","04:49,52","14"
"13","00:25,40","00:55,63","02:01,46","04:19,40","09:04,91","17:12,13","00:31,82","01:09,76","02:32,48","00:27,19","00:59,88","02:14,41","00:29,01","01:02,53","02:16,06","02:16,79","04:53,61","13"
"12","00:25,76","00:56,41","02:03,16","04:23,02","09:12,51","17:26,53","00:32,26","01:10,73","02:34,61","00:27,57","01:00,71","02:16,28","00:29,42","01:03,41","02:17,96","02:18,70","04:57,71","12"
"11","00:26,11","00:57,18","02:04,85","04:26,64","09:20,11","17:40,93","00:32,71","01:11,70","02:36,73","00:27,95","01:01,55","02:18,16","00:29,82","01:04,28","02:19,86","02:20,61","05:01,81","11"
"10","00:26,47","00:57,96","02:06,55","04:30,26","09:27,72","17:55,33","00:33,15","01:12,68","02:38,86","00:28,32","01:02,38","02:20,03","00:30,23","01:05,15","02:21,76","02:22,52","05:05,91","10"
"9","00:26,82","00:58,74","02:08,24","04:33,88","09:35,32","18:09,74","00:33,60","01:13,65","02:40,99","00:28,70","01:03,22","02:21,91","00:30,63","01:06,02","02:23,66","02:24,43","05:10,00","9"
"8","00:27,17","00:59,51","02:09,94","04:37,49","09:42,92","18:24,14","00:34,04","01:14,62","02:43,12","00:29,08","01:04,05","02:23,78","00:31,04","01:06,90","02:25,56","02:26,34","05:14,10","8"
"7","00:27,53","01:00,29","02:11,63","04:41,11","09:50,53","18:38,54","00:34,48","01:15,60","02:45,24","00:29,46","01:04,89","02:25,66","00:31,44","01:07,77","02:27,45","02:28,25","05:18,20","7"
"6","00:27,88","01:01,07","02:13,33","04:44,73","09:58,13","18:52,94","00:34,93","01:16,57","02:47,37","00:29,84","01:05,73","02:27,54","00:31,85","01:08,64","02:29,35","02:30,15","05:22,29","6"
"5","00:28,24","01:01,84","02:15,02","04:48,35","10:05,73","19:07,34","00:35,37","01:17,54","02:49,50","00:30,22","01:06,56","02:29,41","00:32,25","01:09,51","02:31,25","02:32,06","05:26,39","5"
"4","00:28,59","01:02,62","02:16,72","04:51,97","10:13,34","19:21,75","00:35,82","01:18,52","02:51,63","00:30,60","01:07,40","02:31,29","00:32,66","01:10,39","02:33,15","02:33,97","05:30,49","4"
"3","00:28,95","01:03,39","02:18,41","04:55,59","10:20,94","19:36,15","00:36,26","01:19,49","02:53,75","00:30,98","01:08,23","02:33,16","00:33,06","01:11,26","02:35,05","02:35,88","05:34,58","3"
"2","00:29,30","01:04,17","02:20,11","04:59,21","10:28,54","19:50,55","00:36,70","01:20,46","02:55,88","00:31,36","01:09,07","02:35,04","00:33,47","01:12,13","02:36,95","02:37,79","05:38,68","2"
"1","00:29,66","01:04,95","02:21,80","05:02,83","10:36,15","20:04,95","00:37,15","01:21,44","02:58,01","00:31,74","01:09,90","02:36,91","00:33,87","01:13,00","02:38,85","02:39,70","05:42,78","1"
