"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:24,54","00:53,61","01:54,95","04:02,94","08:19,14","15:50,60","00:30,86","01:06,83","02:23,56","00:25,70","00:57,23","02:06,78","00:27,74","00:59,65","02:07,85","02:10,09","04:36,24","20"
"19","00:24,92","00:54,44","01:56,72","04:06,69","08:26,86","16:05,30","00:31,33","01:07,87","02:25,78","00:26,10","00:58,11","02:08,74","00:28,17","01:00,58","02:09,82","02:12,10","04:40,51","19"
"18","00:25,30","00:55,27","01:58,50","04:10,45","08:34,58","16:20,00","00:31,81","01:08,90","02:28,00","00:26,50","00:59,00","02:10,70","00:28,60","01:01,50","02:11,80","02:14,11","04:44,78","18"
"17","00:25,68","00:56,10","02:00,28","04:14,21","08:42,30","16:34,70","00:32,29","01:09,93","02:30,22","00:26,90","00:59,88","02:12,66","00:29,03","01:02,42","02:13,78","02:16,12","04:49,05","17"
"16","00:26,06","00:56,93","02:02,06","04:17,96","08:50,02","16:49,40","00:32,76","01:10,97","02:32,44","00:27,29","01:00,77","02:14,62","00:29,46","01:03,35","02:15,75","02:18,13","04:53,32","16"
"15","00:26,44","00:57,76","02:03,83","04:21,72","08:57,74","17:04,10","00:33,24","01:12,00","02:34,66","00:27,69","01:01,65","02:16,58","00:29,89","01:04,27","02:17,73","02:20,14","04:57,60","15"
"14","00:26,82","00:58,59","02:05,61","04:25,48","09:05,45","17:18,80","00:33,72","01:13,03","02:36,88","00:28,09","01:02,54","02:18,54","00:30,32","01:05,19","02:19,71","02:22,16","05:01,87","14"
"13","00:27,20","00:59,42","02:07,39","04:29,23","09:13,17","17:33,50","00:34,20","01:14,07","02:39,10","00:28,49","01:03,42","02:20,50","00:30,74","01:06,11","02:21,68","02:24,17","05:06,14","13"
"12","00:27,58","01:00,24","02:09,17","04:32,99","09:20,89","17:48,20","00:34,67","01:15,10","02:41,32","00:28,89","01:04,31","02:22,46","00:31,17","01:07,04","02:23,66","02:26,18","05:10,41","12"
"11","00:27,96","01:01,07","02:10,94","04:36,75","09:28,61","18:02,90","00:35,15","01:16,13","02:43,54","00:29,28","01:05,19","02:24,42","00:31,60","01:07,96","02:25,64","02:28,19","05:14,68","11"
"10","00:28,34","01:01,90","02:12,72","04:40,50","09:36,33","18:17,60","00:35,63","01:17,17","02:45,76","00:29,68","01:06,08","02:26,38","00:32,03","01:08,88","02:27,62","02:30,20","05:18,95","10"
"9","00:28,72","01:02,73","02:14,50","04:44,26","09:44,05","18:32,30","00:36,10","01:18,20","02:47,98","00:30,08","01:06,96","02:28,34","00:32,46","01:09,80","02:29,59","02:32,21","05:23,23","9"
"8","00:29,09","01:03,56","02:16,28","04:48,02","09:51,77","18:47,00","00:36,58","01:19,24","02:50,20","00:30,47","01:07,85","02:30,30","00:32,89","01:10,72","02:31,57","02:34,23","05:27,50","8"
"7","00:29,47","01:04,39","02:18,05","04:51,77","09:59,49","19:01,70","00:37,06","01:20,27","02:52,42","00:30,87","01:08,73","02:32,27","00:33,32","01:11,65","02:33,55","02:36,24","05:31,77","7"
"6","00:29,85","01:05,22","02:19,83","04:55,53","10:07,20","19:16,40","00:37,54","01:21,30","02:54,64","00:31,27","01:09,62","02:34,23","00:33,75","01:12,57","02:35,52","02:38,25","05:36,04","6"
"5","00:30,23","01:06,05","02:21,61","04:59,29","10:14,92","19:31,10","00:38,01","01:22,34","02:56,86","00:31,67","01:10,51","02:36,19","00:34,18","01:13,49","02:37,50","02:40,26","05:40,31","5"
"4","00:30,61","01:06,88","02:23,38","05:03,04","10:22,64","19:45,80","00:38,49","01:23,37","02:59,08","00:32,07","01:11,39","02:38,15","00:34,61","01:14,41","02:39,48","02:42,27","05:44,58","4"
"3","00:30,99","01:07,71","02:25,16","05:06,80","10:30,36","20:00,50","00:38,97","01:24,40","03:01,30","00:32,46","01:12,28","02:40,11","00:35,03","01:15,34","02:41,45","02:44,28","05:48,86","3"
"2","00:31,37","01:08,53","02:26,94","05:10,56","10:38,08","20:15,20","00:39,44","01:25,44","03:03,52","00:32,86","01:13,16","02:42,07","00:35,46","01:16,26","02:43,43","02:46,30","05:53,13","2"
"1","00:31,75","01:09,36","02:28,72","05:14,31","10:45,80","20:29,90","00:39,92","01:26,47","03:05,74","00:33,26","01:14,04","02:44,03","00:35,89","01:17,18","02:45,41","02:48,31","05:57,40","1"
