"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:24,98","00:54,07","01:57,24","04:07,51","08:29,79","16:16,77","00:31,33","01:08,01","02:27,08","00:26,44","00:58,77","02:10,22","00:28,35","01:00,86","02:10,59","02:12,33","04:42,11","20"
"19","00:25,36","00:54,90","01:59,06","04:11,34","08:37,68","16:31,88","00:31,82","01:09,06","02:29,36","00:26,85","00:59,68","02:12,24","00:28,79","01:01,80","02:12,61","02:14,37","04:46,48","19"
"18","00:25,75","00:55,74","02:00,87","04:15,17","08:45,56","16:46,98","00:32,30","01:10,11","02:31,63","00:27,26","01:00,59","02:14,25","00:29,23","01:02,74","02:14,63","02:16,42","04:50,84","18"
"17","00:26,14","00:56,58","02:02,68","04:19,00","08:53,44","17:02,08","00:32,78","01:11,16","02:33,90","00:27,67","01:01,50","02:16,26","00:29,67","01:03,68","02:16,65","02:18,47","04:55,20","17"
"16","00:26,52","00:57,41","02:04,50","04:22,83","09:01,33","17:17,19","00:33,27","01:12,21","02:36,18","00:28,08","01:02,41","02:18,28","00:30,11","01:04,62","02:18,67","02:20,51","04:59,57","16"
"15","00:26,91","00:58,25","02:06,31","04:26,65","09:09,21","17:32,29","00:33,75","01:13,26","02:38,45","00:28,49","01:03,32","02:20,29","00:30,55","01:05,56","02:20,69","02:22,56","05:03,93","15"
"14","00:27,29","00:59,08","02:08,12","04:30,48","09:17,09","17:47,40","00:34,24","01:14,32","02:40,73","00:28,90","01:04,23","02:22,31","00:30,98","01:06,50","02:22,71","02:24,61","05:08,29","14"
"13","00:27,68","00:59,92","02:09,94","04:34,31","09:24,98","18:02,50","00:34,72","01:15,37","02:43,00","00:29,30","01:05,13","02:24,32","00:31,42","01:07,45","02:24,73","02:26,65","05:12,65","13"
"12","00:28,07","01:00,76","02:11,75","04:38,14","09:32,86","18:17,61","00:35,21","01:16,42","02:45,28","00:29,71","01:06,04","02:26,33","00:31,86","01:08,39","02:26,75","02:28,70","05:17,02","12"
"11","00:28,45","01:01,59","02:13,56","04:41,96","09:40,74","18:32,71","00:35,69","01:17,47","02:47,55","00:30,12","01:06,95","02:28,35","00:32,30","01:09,33","02:28,77","02:30,74","05:21,38","11"
"10","00:28,84","01:02,43","02:15,37","04:45,79","09:48,63","18:47,82","00:36,18","01:18,52","02:49,83","00:30,53","01:07,86","02:30,36","00:32,74","01:10,27","02:30,79","02:32,79","05:25,74","10"
"9","00:29,23","01:03,26","02:17,19","04:49,62","09:56,51","19:02,92","00:36,66","01:19,57","02:52,10","00:30,94","01:08,77","02:32,37","00:33,18","01:11,21","02:32,81","02:34,84","05:30,10","9"
"8","00:29,61","01:04,10","02:19,00","04:53,45","10:04,39","19:18,03","00:37,14","01:20,63","02:54,37","00:31,35","01:09,68","02:34,39","00:33,61","01:12,15","02:34,82","02:36,88","05:34,47","8"
"7","00:30,00","01:04,94","02:20,81","04:57,27","10:12,28","19:33,13","00:37,63","01:21,68","02:56,65","00:31,76","01:10,59","02:36,40","00:34,05","01:13,09","02:36,84","02:38,93","05:38,83","7"
"6","00:30,38","01:05,77","02:22,63","05:01,10","10:20,16","19:48,24","00:38,11","01:22,73","02:58,92","00:32,17","01:11,50","02:38,41","00:34,49","01:14,03","02:38,86","02:40,98","05:43,19","6"
"5","00:30,77","01:06,61","02:24,44","05:04,93","10:28,04","20:03,34","00:38,60","01:23,78","03:01,20","00:32,58","01:12,41","02:40,43","00:34,93","01:14,97","02:40,88","02:43,02","05:47,55","5"
"4","00:31,16","01:07,45","02:26,25","05:08,76","10:35,93","20:18,45","00:39,08","01:24,83","03:03,47","00:32,98","01:13,31","02:42,44","00:35,37","01:15,92","02:42,90","02:45,07","05:51,92","4"
"3","00:31,54","01:08,28","02:28,07","05:12,58","10:43,81","20:33,55","00:39,57","01:25,88","03:05,75","00:33,39","01:14,22","02:44,46","00:35,81","01:16,86","02:44,92","02:47,11","05:56,28","3"
"2","00:31,93","01:09,12","02:29,88","05:16,41","10:51,69","20:48,66","00:40,05","01:26,94","03:08,02","00:33,80","01:15,13","02:46,47","00:36,25","01:17,80","02:46,94","02:49,16","06:00,64","2"
"1","00:32,32","01:09,95","02:31,69","05:20,24","10:59,58","21:03,76","00:40,54","01:27,99","03:10,30","00:34,21","01:16,04","02:48,48","00:36,68","01:18,74","02:48,96","02:51,21","06:05,00","1"
