"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt."
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:23,44","00:51,57","01:53,25","04:01,69","08:22,87","15:57,31","00:29,36","01:04,37","02:20,15","00:25,05","00:55,96","02:05,34","00:27,00","00:58,00","02:06,15","02:07,47","04:31,72","20"
"19","00:23,81","00:52,36","01:55,00","04:05,42","08:30,64","16:12,12","00:29,82","01:05,36","02:22,31","00:25,43","00:56,82","02:07,28","00:27,42","00:58,89","02:08,10","02:09,44","04:35,92","19"
"18","00:24,17","00:53,16","01:56,75","04:09,16","08:38,42","16:26,92","00:30,27","01:06,36","02:24,48","00:25,82","00:57,69","02:09,22","00:27,84","00:59,79","02:10,05","02:11,41","04:40,12","18"
"17","00:24,53","00:53,96","01:58,50","04:12,90","08:46,20","16:41,72","00:30,72","01:07,36","02:26,65","00:26,21","00:58,56","02:11,16","00:28,26","01:00,69","02:12,00","02:13,38","04:44,32","17"
"16","00:24,90","00:54,75","02:00,25","04:16,63","08:53,97","16:56,53","00:31,18","01:08,35","02:28,81","00:26,59","00:59,42","02:13,10","00:28,68","01:01,58","02:13,95","02:15,35","04:48,52","16"
"15","00:25,26","00:55,55","02:02,00","04:20,37","09:01,75","17:11,33","00:31,63","01:09,35","02:30,98","00:26,98","01:00,29","02:15,03","00:29,09","01:02,48","02:15,90","02:17,32","04:52,73","15"
"14","00:25,62","00:56,35","02:03,76","04:24,11","09:09,53","17:26,14","00:32,09","01:10,34","02:33,15","00:27,37","01:01,15","02:16,97","00:29,51","01:03,38","02:17,85","02:19,29","04:56,93","14"
"13","00:25,98","00:57,15","02:05,51","04:27,85","09:17,30","17:40,94","00:32,54","01:11,34","02:35,32","00:27,76","01:02,02","02:18,91","00:29,93","01:04,27","02:19,80","02:21,27","05:01,13","13"
"12","00:26,35","00:57,94","02:07,26","04:31,58","09:25,08","17:55,74","00:32,99","01:12,33","02:37,48","00:28,14","01:02,88","02:20,85","00:30,35","01:05,17","02:21,75","02:23,24","05:05,33","12"
"11","00:26,71","00:58,74","02:09,01","04:35,32","09:32,85","18:10,55","00:33,45","01:13,33","02:39,65","00:28,53","01:03,75","02:22,79","00:30,76","01:06,07","02:23,71","02:25,21","05:09,53","11"
"10","00:27,07","00:59,54","02:10,76","04:39,06","09:40,63","18:25,35","00:33,90","01:14,32","02:41,82","00:28,92","01:04,61","02:24,73","00:31,18","01:06,96","02:25,66","02:27,18","05:13,73","10"
"9","00:27,43","01:00,34","02:12,51","04:42,80","09:48,41","18:40,15","00:34,36","01:15,32","02:43,98","00:29,31","01:05,48","02:26,66","00:31,60","01:07,86","02:27,61","02:29,15","05:17,94","9"
"8","00:27,80","01:01,13","02:14,26","04:46,53","09:56,18","18:54,96","00:34,81","01:16,31","02:46,15","00:29,69","01:06,34","02:28,60","00:32,02","01:08,76","02:29,56","02:31,12","05:22,14","8"
"7","00:28,16","01:01,93","02:16,01","04:50,27","10:03,96","19:09,76","00:35,26","01:17,31","02:48,32","00:30,08","01:07,21","02:30,54","00:32,43","01:09,66","02:31,51","02:33,09","05:26,34","7"
"6","00:28,52","01:02,73","02:17,76","04:54,01","10:11,74","19:24,57","00:35,72","01:18,30","02:50,49","00:30,47","01:08,07","02:32,48","00:32,85","01:10,55","02:33,46","02:35,06","05:30,54","6"
"5","00:28,88","01:03,53","02:19,52","04:57,75","10:19,51","19:39,37","00:36,17","01:19,30","02:52,65","00:30,85","01:08,94","02:34,42","00:33,27","01:11,45","02:35,41","02:37,03","05:34,74","5"
"4","00:29,25","01:04,32","02:21,27","05:01,48","10:27,29","19:54,17","00:36,63","01:20,30","02:54,82","00:31,24","01:09,80","02:36,36","00:33,69","01:12,35","02:37,36","02:39,01","05:38,95","4"
"3","00:29,61","01:05,12","02:23,02","05:05,22","10:35,06","20:08,98","00:37,08","01:21,29","02:56,99","00:31,63","01:10,67","02:38,29","00:34,10","01:13,24","02:39,31","02:40,98","05:43,15","3"
"2","00:29,97","01:05,92","02:24,77","05:08,96","10:42,84","20:23,78","00:37,53","01:22,29","02:59,16","00:32,02","01:11,54","02:40,23","00:34,52","01:14,14","02:41,26","02:42,95","05:47,35","2"
"1","00:30,33","01:06,72","02:26,52","05:12,70","10:50,62","20:38,58","00:37,99","01:23,28","03:01,32","00:32,40","01:12,40","02:42,17","00:34,94","01:15,04","02:43,21","02:44,92","05:51,55","1"
