"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt."
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:27,51","01:00,16","02:13,09","04:38,39","09:42,56","18:23,86","00:34,90","01:17,06","02:45,95","00:29,49","01:07,04","02:31,16","00:31,51","01:09,05","02:28,50","02:28,16","05:17,33","20"
"19","00:27,93","01:01,09","02:15,15","04:42,70","09:51,57","18:40,93","00:35,44","01:18,25","02:48,51","00:29,94","01:08,07","02:33,50","00:31,99","01:10,12","02:30,79","02:30,45","05:22,23","19"
"18","00:28,36","01:02,02","02:17,21","04:47,00","10:00,58","18:58,00","00:35,98","01:19,44","02:51,08","00:30,40","01:09,11","02:35,84","00:32,48","01:11,19","02:33,09","02:32,74","05:27,14","18"
"17","00:28,79","01:02,95","02:19,27","04:51,30","10:09,59","19:15,07","00:36,52","01:20,63","02:53,65","00:30,86","01:10,15","02:38,18","00:32,97","01:12,26","02:35,39","02:35,03","05:32,05","17"
"16","00:29,21","01:03,88","02:21,33","04:55,61","10:18,60","19:32,14","00:37,06","01:21,82","02:56,21","00:31,31","01:11,18","02:40,52","00:33,45","01:13,33","02:37,68","02:37,32","05:36,95","16"
"15","00:29,64","01:04,81","02:23,38","04:59,91","10:27,61","19:49,21","00:37,60","01:23,01","02:58,78","00:31,77","01:12,22","02:42,85","00:33,94","01:14,39","02:39,98","02:39,61","05:41,86","15"
"14","00:30,06","01:05,74","02:25,44","05:04,22","10:36,61","20:06,28","00:38,14","01:24,21","03:01,34","00:32,22","01:13,26","02:45,19","00:34,43","01:15,46","02:42,28","02:41,90","05:46,77","14"
"13","00:30,49","01:06,67","02:27,50","05:08,52","10:45,62","20:23,35","00:38,68","01:25,40","03:03,91","00:32,68","01:14,29","02:47,53","00:34,92","01:16,53","02:44,57","02:44,20","05:51,68","13"
"12","00:30,91","01:07,60","02:29,56","05:12,83","10:54,63","20:40,42","00:39,22","01:26,59","03:06,48","00:33,14","01:15,33","02:49,87","00:35,40","01:17,60","02:46,87","02:46,49","05:56,58","12"
"11","00:31,34","01:08,53","02:31,62","05:17,13","11:03,64","20:57,49","00:39,76","01:27,78","03:09,04","00:33,59","01:16,37","02:52,20","00:35,89","01:18,66","02:49,16","02:48,78","06:01,49","11"
"10","00:31,76","01:09,46","02:33,68","05:21,44","11:12,65","21:14,56","00:40,30","01:28,97","03:11,61","00:34,05","01:17,40","02:54,54","00:36,38","01:19,73","02:51,46","02:51,07","06:06,40","10"
"9","00:32,19","01:10,39","02:35,73","05:25,74","11:21,66","21:31,63","00:40,84","01:30,16","03:14,18","00:34,50","01:18,44","02:56,88","00:36,86","01:20,80","02:53,76","02:53,36","06:11,30","9"
"8","00:32,61","01:11,32","02:37,79","05:30,05","11:30,67","21:48,70","00:41,38","01:31,36","03:16,74","00:34,96","01:19,48","02:59,22","00:37,35","01:21,87","02:56,05","02:55,65","06:16,21","8"
"7","00:33,04","01:12,25","02:39,85","05:34,35","11:39,68","22:05,77","00:41,92","01:32,55","03:19,31","00:35,42","01:20,51","03:01,55","00:37,84","01:22,94","02:58,35","02:57,94","06:21,12","7"
"6","00:33,46","01:13,18","02:41,91","05:38,66","11:48,68","22:22,84","00:42,46","01:33,74","03:21,87","00:35,87","01:21,55","03:03,89","00:38,33","01:24,00","03:00,65","03:00,23","06:26,03","6"
"5","00:33,89","01:14,11","02:43,97","05:42,97","11:57,69","22:39,91","00:43,00","01:34,93","03:24,44","00:36,33","01:22,59","03:06,23","00:38,81","01:25,07","03:02,94","03:02,52","06:30,93","5"
"4","00:34,32","01:15,04","02:46,02","05:47,27","12:06,70","22:56,98","00:43,54","01:36,12","03:27,01","00:36,78","01:23,62","03:08,57","00:39,30","01:26,14","03:05,24","03:04,82","06:35,84","4"
"3","00:34,74","01:15,97","02:48,08","05:51,58","12:15,71","23:14,05","00:44,08","01:37,31","03:29,57","00:37,24","01:24,66","03:10,90","00:39,79","01:27,21","03:07,54","03:07,11","06:40,75","3"
"2","00:35,17","01:16,90","02:50,14","05:55,88","12:24,72","23:31,12","00:44,62","01:38,51","03:32,14","00:37,70","01:25,70","03:13,24","00:40,28","01:28,28","03:09,83","03:09,40","06:45,65","2"
"1","00:35,59","01:17,84","02:52,20","06:00,18","12:33,73","23:48,19","00:45,15","01:39,70","03:34,71","00:38,15","01:26,73","03:15,58","00:40,76","01:29,34","03:12,13","03:11,69","06:50,56","1"
