"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:33,68","01:18,10","02:51,57","06:18,30","13:05,70","24:58,65","00:45,18","01:41,49","03:46,01","00:39,65","01:32,15","04:12,20","00:39,62","01:27,93","03:16,91","03:22,73","07:21,35","20"
"19","00:34,20","01:19,31","02:54,23","06:24,15","13:17,85","25:21,82","00:45,88","01:43,06","03:49,51","00:40,27","01:33,58","04:16,10","00:40,24","01:29,29","03:19,95","03:25,86","07:28,18","19"
"18","00:34,72","01:20,52","02:56,88","06:30,00","13:30,00","25:45,00","00:46,58","01:44,63","03:53,00","00:40,88","01:35,00","04:20,00","00:40,85","01:30,65","03:23,00","03:29,00","07:35,00","18"
"17","00:35,24","01:21,73","02:59,53","06:35,85","13:42,15","26:08,17","00:47,28","01:46,20","03:56,49","00:41,49","01:36,42","04:23,90","00:41,46","01:32,01","03:26,04","03:32,13","07:41,82","17"
"16","00:35,76","01:22,94","03:02,19","06:41,70","13:54,30","26:31,35","00:47,98","01:47,77","03:59,99","00:42,11","01:37,85","04:27,80","00:42,08","01:33,37","03:29,09","03:35,27","07:48,65","16"
"15","00:36,28","01:24,14","03:04,84","06:47,55","14:06,45","26:54,52","00:48,68","01:49,34","04:03,49","00:42,72","01:39,28","04:31,70","00:42,69","01:34,73","03:32,13","03:38,40","07:55,48","15"
"14","00:36,80","01:25,35","03:07,49","06:53,40","14:18,60","27:17,70","00:49,37","01:50,91","04:06,98","00:43,33","01:40,70","04:35,60","00:43,30","01:36,09","03:35,18","03:41,54","08:02,30","14"
"13","00:37,32","01:26,56","03:10,15","06:59,25","14:30,75","27:40,87","00:50,07","01:52,48","04:10,47","00:43,95","01:42,12","04:39,50","00:43,91","01:37,45","03:38,23","03:44,68","08:09,13","13"
"12","00:37,84","01:27,77","03:12,80","07:05,10","14:42,90","28:04,05","00:50,77","01:54,05","04:13,97","00:44,56","01:43,55","04:43,40","00:44,53","01:38,81","03:41,27","03:47,81","08:15,95","12"
"11","00:38,37","01:28,97","03:15,45","07:10,95","14:55,05","28:27,22","00:51,47","01:55,62","04:17,47","00:45,17","01:44,98","04:47,30","00:45,14","01:40,17","03:44,31","03:50,95","08:22,77","11"
"10","00:38,89","01:30,18","03:18,11","07:16,80","15:07,20","28:50,40","00:52,17","01:57,19","04:20,96","00:45,79","01:46,40","04:51,20","00:45,75","01:41,53","03:47,36","03:54,08","08:29,60","10"
"9","00:39,41","01:31,39","03:20,76","07:22,65","15:19,35","29:13,57","00:52,87","01:58,76","04:24,45","00:46,40","01:47,82","04:55,10","00:46,36","01:42,89","03:50,41","03:57,22","08:36,42","9"
"8","00:39,93","01:32,60","03:23,41","07:28,50","15:31,50","29:36,75","00:53,57","02:00,32","04:27,95","00:47,01","01:49,25","04:59,00","00:46,98","01:44,25","03:53,45","04:00,35","08:43,25","8"
"7","00:40,45","01:33,81","03:26,07","07:34,35","15:43,65","29:59,93","00:54,27","02:01,89","04:31,45","00:47,63","01:50,68","05:02,90","00:47,59","01:45,61","03:56,49","04:03,49","08:50,08","7"
"6","00:40,97","01:35,01","03:28,72","07:40,20","15:55,80","30:23,10","00:54,96","02:03,46","04:34,94","00:48,24","01:52,10","05:06,80","00:48,20","01:46,97","03:59,54","04:06,62","08:56,90","6"
"5","00:41,49","01:36,22","03:31,37","07:46,05","16:07,95","30:46,28","00:55,66","02:05,03","04:38,44","00:48,85","01:53,53","05:10,70","00:48,82","01:48,33","04:02,59","04:09,76","09:03,73","5"
"4","00:42,01","01:37,43","03:34,02","07:51,90","16:20,10","31:09,45","00:56,36","02:06,60","04:41,93","00:49,46","01:54,95","05:14,60","00:49,43","01:49,69","04:05,63","04:12,89","09:10,55","4"
"3","00:42,53","01:38,64","03:36,68","07:57,75","16:32,25","31:32,63","00:57,06","02:08,17","04:45,43","00:50,08","01:56,38","05:18,50","00:50,04","01:51,05","04:08,68","04:16,03","09:17,38","3"
"2","00:43,05","01:39,84","03:39,33","08:03,60","16:44,40","31:55,80","00:57,76","02:09,74","04:48,92","00:50,69","01:57,80","05:22,40","00:50,65","01:52,41","04:11,72","04:19,16","09:24,20","2"
"1","00:43,57","01:41,05","03:41,98","08:09,45","16:56,55","32:18,97","00:58,46","02:11,31","04:52,42","00:51,30","01:59,23","05:26,30","00:51,27","01:53,77","04:14,76","04:22,29","09:31,02","1"
