"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:25,90","00:56,44","02:02,22","04:17,95","08:52,48","17:11,51","00:32,66","01:10,98","02:32,90","00:27,42","01:01,09","02:16,18","00:29,33","01:03,02","02:16,24","02:18,05","04:51,74","20"
"19","00:26,30","00:57,32","02:04,11","04:21,94","09:00,72","17:27,46","00:33,16","01:12,08","02:35,27","00:27,85","01:02,04","02:18,28","00:29,79","01:04,00","02:18,34","02:20,19","04:56,25","19"
"18","00:26,70","00:58,19","02:06,00","04:25,93","09:08,95","17:43,41","00:33,67","01:13,18","02:37,63","00:28,27","01:02,98","02:20,39","00:30,24","01:04,97","02:20,45","02:22,32","05:00,76","18"
"17","00:27,10","00:59,06","02:07,89","04:29,92","09:17,18","17:59,36","00:34,18","01:14,28","02:39,99","00:28,69","01:03,92","02:22,50","00:30,69","01:05,94","02:22,56","02:24,45","05:05,27","17"
"16","00:27,50","00:59,94","02:09,78","04:33,91","09:25,42","18:15,31","00:34,68","01:15,38","02:42,36","00:29,12","01:04,87","02:24,60","00:31,15","01:06,92","02:24,66","02:26,59","05:09,78","16"
"15","00:27,90","01:00,81","02:11,67","04:37,90","09:33,65","18:31,26","00:35,19","01:16,47","02:44,72","00:29,54","01:05,81","02:26,71","00:31,60","01:07,89","02:26,77","02:28,72","05:14,29","15"
"14","00:28,30","01:01,68","02:13,56","04:41,89","09:41,89","18:47,21","00:35,69","01:17,57","02:47,09","00:29,97","01:06,76","02:28,81","00:32,05","01:08,87","02:28,88","02:30,86","05:18,81","14"
"13","00:28,70","01:02,55","02:15,45","04:45,87","09:50,12","19:03,17","00:36,20","01:18,67","02:49,45","00:30,39","01:07,70","02:30,92","00:32,51","01:09,84","02:30,98","02:32,99","05:23,32","13"
"12","00:29,10","01:03,43","02:17,34","04:49,86","09:58,36","19:19,12","00:36,70","01:19,77","02:51,82","00:30,81","01:08,65","02:33,03","00:32,96","01:10,82","02:33,09","02:35,13","05:27,83","12"
"11","00:29,50","01:04,30","02:19,23","04:53,85","10:06,59","19:35,07","00:37,21","01:20,86","02:54,18","00:31,24","01:09,59","02:35,13","00:33,42","01:11,79","02:35,20","02:37,26","05:32,34","11"
"10","00:29,90","01:05,17","02:21,12","04:57,84","10:14,82","19:51,02","00:37,71","01:21,96","02:56,55","00:31,66","01:10,54","02:37,24","00:33,87","01:12,77","02:37,30","02:39,40","05:36,85","10"
"9","00:30,30","01:06,05","02:23,01","05:01,83","10:23,06","20:06,97","00:38,22","01:23,06","02:58,91","00:32,09","01:11,48","02:39,34","00:34,32","01:13,74","02:39,41","02:41,53","05:41,36","9"
"8","00:30,71","01:06,92","02:24,90","05:05,82","10:31,29","20:22,92","00:38,72","01:24,16","03:01,27","00:32,51","01:12,43","02:41,45","00:34,78","01:14,72","02:41,52","02:43,67","05:45,87","8"
"7","00:31,11","01:07,79","02:26,79","05:09,81","10:39,53","20:38,87","00:39,23","01:25,25","03:03,64","00:32,93","01:13,37","02:43,55","00:35,23","01:15,69","02:43,62","02:45,80","05:50,39","7"
"6","00:31,51","01:08,66","02:28,68","05:13,80","10:47,76","20:54,82","00:39,73","01:26,35","03:06,00","00:33,36","01:14,32","02:45,66","00:35,68","01:16,66","02:45,73","02:47,94","05:54,90","6"
"5","00:31,91","01:09,54","02:30,57","05:17,79","10:56,00","21:10,77","00:40,24","01:27,45","03:08,37","00:33,78","01:15,26","02:47,77","00:36,14","01:17,64","02:47,84","02:50,07","05:59,41","5"
"4","00:32,31","01:10,41","02:32,46","05:21,78","11:04,23","21:26,73","00:40,74","01:28,55","03:10,73","00:34,21","01:16,21","02:49,87","00:36,59","01:18,61","02:49,94","02:52,21","06:03,92","4"
"3","00:32,71","01:11,28","02:34,35","05:25,76","11:12,46","21:42,68","00:41,25","01:29,65","03:13,10","00:34,63","01:17,15","02:51,98","00:37,04","01:19,59","02:52,05","02:54,34","06:08,43","3"
"2","00:33,11","01:12,16","02:36,24","05:29,75","11:20,70","21:58,63","00:41,75","01:30,74","03:15,46","00:35,05","01:18,10","02:54,08","00:37,50","01:20,56","02:54,16","02:56,48","06:12,94","2"
"1","00:33,51","01:13,03","02:38,13","05:33,74","11:28,93","22:14,58","00:42,26","01:31,84","03:17,83","00:35,48","01:19,04","02:56,19","00:37,95","01:21,54","02:56,26","02:58,61","06:17,45","1"
