"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:24,10","00:52,51","01:53,81","03:59,20","08:10,38","15:36,22","00:30,04","01:05,61","02:21,13","00:25,38","00:56,46","02:05,25","00:27,31","00:58,60","02:06,10","02:08,94","04:33,25","20"
"19","00:24,48","00:53,32","01:55,57","04:02,90","08:17,97","15:50,70","00:30,51","01:06,63","02:23,32","00:25,78","00:57,34","02:07,18","00:27,73","00:59,50","02:08,05","02:10,94","04:37,47","19"
"18","00:24,85","00:54,13","01:57,33","04:06,60","08:25,55","16:05,18","00:30,97","01:07,64","02:25,50","00:26,17","00:58,21","02:09,12","00:28,15","01:00,41","02:10,00","02:12,93","04:41,70","18"
"17","00:25,22","00:54,94","01:59,09","04:10,30","08:33,13","16:19,66","00:31,43","01:08,65","02:27,68","00:26,56","00:59,08","02:11,06","00:28,57","01:01,32","02:11,95","02:14,92","04:45,93","17"
"16","00:25,60","00:55,75","02:00,85","04:14,00","08:40,72","16:34,14","00:31,90","01:09,67","02:29,87","00:26,96","00:59,96","02:12,99","00:28,99","01:02,22","02:13,90","02:16,92","04:50,15","16"
"15","00:25,97","00:56,57","02:02,61","04:17,70","08:48,30","16:48,61","00:32,36","01:10,68","02:32,05","00:27,35","01:00,83","02:14,93","00:29,42","01:03,13","02:15,85","02:18,91","04:54,38","15"
"14","00:26,34","00:57,38","02:04,37","04:21,40","08:55,88","17:03,09","00:32,83","01:11,70","02:34,23","00:27,74","01:01,70","02:16,87","00:29,84","01:04,03","02:17,80","02:20,91","04:58,60","14"
"13","00:26,71","00:58,19","02:06,13","04:25,10","09:03,47","17:17,57","00:33,29","01:12,71","02:36,41","00:28,13","01:02,58","02:18,80","00:30,26","01:04,94","02:19,75","02:22,90","05:02,83","13"
"12","00:27,09","00:59,00","02:07,89","04:28,79","09:11,05","17:32,05","00:33,76","01:13,73","02:38,60","00:28,53","01:03,45","02:20,74","00:30,68","01:05,85","02:21,70","02:24,89","05:07,05","12"
"11","00:27,46","00:59,81","02:09,65","04:32,49","09:18,63","17:46,52","00:34,22","01:14,74","02:40,78","00:28,92","01:04,32","02:22,68","00:31,11","01:06,75","02:23,65","02:26,89","05:11,28","11"
"10","00:27,83","01:00,63","02:11,41","04:36,19","09:26,22","18:01,00","00:34,69","01:15,76","02:42,96","00:29,31","01:05,20","02:24,61","00:31,53","01:07,66","02:25,60","02:28,88","05:15,50","10"
"9","00:28,20","01:01,44","02:13,17","04:39,89","09:33,80","18:15,48","00:35,15","01:16,77","02:45,14","00:29,70","01:06,07","02:26,55","00:31,95","01:08,57","02:27,55","02:30,88","05:19,73","9"
"8","00:28,58","01:02,25","02:14,93","04:43,59","09:41,38","18:29,96","00:35,62","01:17,79","02:47,32","00:30,10","01:06,94","02:28,49","00:32,37","01:09,47","02:29,50","02:32,87","05:23,95","8"
"7","00:28,95","01:03,06","02:16,69","04:47,29","09:48,97","18:44,43","00:36,08","01:18,80","02:49,51","00:30,49","01:07,81","02:30,42","00:32,79","01:10,38","02:31,45","02:34,86","05:28,18","7"
"6","00:29,32","01:03,87","02:18,45","04:50,99","09:56,55","18:58,91","00:36,54","01:19,82","02:51,69","00:30,88","01:08,69","02:32,36","00:33,22","01:11,28","02:33,40","02:36,86","05:32,41","6"
"5","00:29,70","01:04,69","02:20,21","04:54,69","10:04,13","19:13,39","00:37,01","01:20,83","02:53,87","00:31,27","01:09,56","02:34,30","00:33,64","01:12,19","02:35,35","02:38,85","05:36,63","5"
"4","00:30,07","01:05,50","02:21,97","04:58,39","10:11,72","19:27,87","00:37,47","01:21,84","02:56,05","00:31,67","01:10,43","02:36,24","00:34,06","01:13,10","02:37,30","02:40,85","05:40,86","4"
"3","00:30,44","01:06,31","02:23,73","05:02,09","10:19,30","19:42,35","00:37,94","01:22,86","02:58,24","00:32,06","01:11,31","02:38,17","00:34,48","01:14,00","02:39,25","02:42,84","05:45,08","3"
"2","00:30,81","01:07,12","02:25,49","05:05,78","10:26,88","19:56,82","00:38,40","01:23,87","03:00,42","00:32,45","01:12,18","02:40,11","00:34,91","01:14,91","02:41,20","02:44,83","05:49,31","2"
"1","00:31,19","01:07,93","02:27,25","05:09,48","10:34,47","20:11,30","00:38,87","01:24,89","03:02,60","00:32,84","01:13,05","02:42,05","00:35,33","01:15,81","02:43,15","02:46,83","05:53,53","1"
